Date,	y
01-01-2010,	1359.032555
01-02-2010,	1352.465935
01-03-2010,	1294.680754
01-04-2010,	1125.562579
01-05-2010,	1151.087542
01-06-2010,	1192.93884
01-07-2010,	1172.51313
01-08-2010,	1166.464991
01-09-2010,	1164.317493
01-10-2010,	1182.437556
01-11-2010,	1237.253288
01-12-2010,	1241.782266
01-01-2011,	1266.449777
01-02-2011,	1270.384761
01-03-2011,	1247.484381
01-04-2011,	1177.636794
01-05-2011,	1149.744954
01-06-2011,	1133.062394
01-07-2011,	1136.2228
01-08-2011,	1105.022029
01-09-2011,	1073.152428
01-10-2011,	1062.356734
01-11-2011,	1078.930214
01-12-2011,	1135.699389
01-01-2012,	1083.569926
01-02-2012,	1064.495743
01-03-2012,	1175.80353
01-04-2012,	1176.157981
01-05-2012,	1210.287823
01-06-2012,	1183.167606
01-07-2012,	1363.732118
01-08-2012,	1498.742373
01-09-2012,	1528.854192
01-10-2012,	1463.522689
01-11-2012,	1532.995375
01-12-2012,	1527.095995
01-01-2013,	1537.020104
01-02-2013,	1602.874413
01-03-2013,	1571.878561
01-04-2013,	1568.064849
01-05-2013,	1531.872722
01-06-2013,	1565.671462
01-07-2013,	1519.9233
01-08-2013,	1512.278874
01-09-2013,	1547.034959
01-10-2013,	1557.924935
01-11-2013,	1640.731537
01-12-2013,	1620.725604
01-01-2014,	1687.475906
01-02-2014,	1653.714599
01-03-2014,	1659.218606
01-04-2014,	1587.980425
01-05-2014,	1560.783724
01-06-2014,	1538.715657
01-07-2014,	1580.573089
01-08-2014,	1507.959963
01-09-2014,	1518.661968
01-10-2014,	1513.187749
01-11-2014,	1529.352283
01-12-2014,	1534.335319
01-01-2015,	1583.232001
01-02-2015,	1535.926255
01-03-2015,	1545.277223
01-04-2015,	1481.168807
01-05-2015,	1477.815369
01-06-2015,	1460.180887
01-07-2015,	1443.450231
01-08-2015,	1463.501969
01-09-2015,	1486.969646
01-10-2015,	1550.746239
01-11-2015,	1572.915484
01-12-2015,	1605.910746
01-01-2016,	1609.725142
01-02-2016,	1666.929112
01-03-2016,	1655.117678
01-04-2016,	1564.953088
01-05-2016,	1573.651421
01-06-2016,	1670.708755
01-07-2016,	1680.500443
01-08-2016,	1675.021821
01-09-2016,	1700.208095
01-10-2016,	1720.974281
01-11-2016,	1924.25871
01-12-2016,	1933.218451
01-01-2017,	1869.787274
01-02-2017,	1838.38264
01-03-2017,	1719.621683
01-04-2017,	1670.843835
01-05-2017,	1636.784552
01-06-2017,	1614.725237
01-07-2017,	1617.823864
01-08-2017,	1607.85211
01-09-2017,	1597.845306
01-10-2017,	1603.255079
01-11-2017,	1611.921561
01-12-2017,	1672.663408
01-01-2018,	1635.807972
01-02-2018,	1681.187482
01-03-2018,	1745.765078
01-04-2018,	1749.874042
01-05-2018,	1737.820393
01-06-2018,	1697.792751
01-07-2018,	1736.318888
01-08-2018,	1822.788333
01-09-2018,	1823.045848
01-10-2018,	1887.566154
01-11-2018,	1920.826487
01-12-2018,	1923.45056
01-01-2019,	1964.446866
01-02-2019,	1982.947432
01-03-2019,	1955.495997
01-04-2019,	1869.331071
01-05-2019,	1867.497336
01-06-2019,	1840.351674
01-07-2019,	1856.104719
01-08-2019,	1909.297034
01-09-2019,	1925.274467
01-10-2019,	1999.747956
01-11-2019,	2015.015947
01-12-2019,	2025.034236
01-01-2020,	2100.079581
01-02-2020,	2048.747978
01-03-2020,	1944.047984
01-04-2020,	1916.03406
01-05-2020,	1894.226296
01-06-2020,	1853.66432
01-07-2020,	1846.662024
01-08-2020,	1851.580338
01-09-2020,	1742.582533
01-10-2020,	1658.373881
01-11-2020,	1676.946338
01-12-2020,	1658.005439
